pozycja,imię,liczba,udział,jedna na
501,Alana,11,1.716360504360336e-05,58263
502,Liana,11,1.716360504360336e-05,58263
503,Malena,11,1.716360504360336e-05,58263
504,Molly,11,1.716360504360336e-05,58263
505,Yasmine,11,1.716360504360336e-05,58263
506,Zarina,11,1.716360504360336e-05,58263
507,Lucja,11,1.716360504360336e-05,58263
508,Eunika,11,1.716360504360336e-05,58263
509,Jagienka,10,1.560327731236669e-05,64089
510,Raisa,10,1.560327731236669e-05,64089
511,Samantha,10,1.560327731236669e-05,64089
512,Bogdana,10,1.560327731236669e-05,64089
513,Donata,10,1.560327731236669e-05,64089
514,Ellie,10,1.560327731236669e-05,64089
515,Freja,10,1.560327731236669e-05,64089
516,Ivy,10,1.560327731236669e-05,64089
517,Pia,10,1.560327731236669e-05,64089
518,Rut,10,1.560327731236669e-05,64089
519,Carla,10,1.560327731236669e-05,64089
520,Iris,10,1.560327731236669e-05,64089
521,Lejla,10,1.560327731236669e-05,64089
522,Lucia,10,1.560327731236669e-05,64089
523,Zlatoslava,10,1.560327731236669e-05,64089
524,Żaklina,10,1.560327731236669e-05,64089
525,Żywia,10,1.560327731236669e-05,64089
526,Chloé,10,1.560327731236669e-05,64089
527,Tekla,10,1.560327731236669e-05,64089
528,Afina,10,1.560327731236669e-05,64089
529,Marieta,9,1.4042949581130021e-05,71210
530,Petra,9,1.4042949581130021e-05,71210
531,Annabelle,9,1.4042949581130021e-05,71210
532,Isabel,9,1.4042949581130021e-05,71210
533,Katrina,9,1.4042949581130021e-05,71210
534,Margaryta,9,1.4042949581130021e-05,71210
535,Poliana,9,1.4042949581130021e-05,71210
536,Aisza,9,1.4042949581130021e-05,71210
537,Anabel,9,1.4042949581130021e-05,71210
538,Helen,9,1.4042949581130021e-05,71210
539,Karla,9,1.4042949581130021e-05,71210
540,Léa,9,1.4042949581130021e-05,71210
541,Karen,9,1.4042949581130021e-05,71210
542,Alma,9,1.4042949581130021e-05,71210
543,Heidi,8,1.2482621849893351e-05,80111
544,Ellen,8,1.2482621849893351e-05,80111
545,Aliya,8,1.2482621849893351e-05,80111
546,Bao Anh,8,1.2482621849893351e-05,80111
547,Sława,8,1.2482621849893351e-05,80111
548,Natasha,8,1.2482621849893351e-05,80111
549,Nelli,8,1.2482621849893351e-05,80111
550,Susanne,8,1.2482621849893351e-05,80111
551,Adel,8,1.2482621849893351e-05,80111
552,Alisha,8,1.2482621849893351e-05,80111
553,Grace,8,1.2482621849893351e-05,80111
554,Kamilla,8,1.2482621849893351e-05,80111
555,Marisa,8,1.2482621849893351e-05,80111
556,Pelagia,8,1.2482621849893351e-05,80111
557,Vivian,8,1.2482621849893351e-05,80111
558,Alexia,8,1.2482621849893351e-05,80111
559,Alita,8,1.2482621849893351e-05,80111
560,Carolina,8,1.2482621849893351e-05,80111
561,Gabi,8,1.2482621849893351e-05,80111
562,Ivanna,8,1.2482621849893351e-05,80111
563,Jewa,8,1.2482621849893351e-05,80111
564,Marija,8,1.2482621849893351e-05,80111
565,Selina,8,1.2482621849893351e-05,80111
566,Teodozja,8,1.2482621849893351e-05,80111
567,Thea,8,1.2482621849893351e-05,80111
568,Ulyana,8,1.2482621849893351e-05,80111
569,Radochna,8,1.2482621849893351e-05,80111
570,Kasjana,8,1.2482621849893351e-05,80111
571,Dąbrówka,8,1.2482621849893351e-05,80111
572,Teona,8,1.2482621849893351e-05,80111
573,Ela,7,1.0922294118656682e-05,91556
574,Eleanor,7,1.0922294118656682e-05,91556
575,Zoey,7,1.0922294118656682e-05,91556
576,Amber,7,1.0922294118656682e-05,91556
577,India,7,1.0922294118656682e-05,91556
578,Isla,7,1.0922294118656682e-05,91556
579,Nikolina,7,1.0922294118656682e-05,91556
580,Nila,7,1.0922294118656682e-05,91556
581,Alessia,7,1.0922294118656682e-05,91556
582,Eleni,7,1.0922294118656682e-05,91556
583,Erin,7,1.0922294118656682e-05,91556
584,Eulalia,7,1.0922294118656682e-05,91556
585,Gia Han,7,1.0922294118656682e-05,91556
586,Irina,7,1.0922294118656682e-05,91556
587,Louise,7,1.0922294118656682e-05,91556
588,Sofi,7,1.0922294118656682e-05,91556
589,Suzanna,7,1.0922294118656682e-05,91556
590,Vira,7,1.0922294118656682e-05,91556
591,Mary,7,1.0922294118656682e-05,91556
592,Noa,7,1.0922294118656682e-05,91556
593,Anastasiya,7,1.0922294118656682e-05,91556
594,Anastasija,7,1.0922294118656682e-05,91556
595,Lilit,7,1.0922294118656682e-05,91556
596,Miłka,7,1.0922294118656682e-05,91556
597,Katerina,7,1.0922294118656682e-05,91556
598,Ula,7,1.0922294118656682e-05,91556
599,Delia,7,1.0922294118656682e-05,91556
600,Anaya,7,1.0922294118656682e-05,91556
601,Mariana,6,9.361966387420014e-06,106815
602,Dina,6,9.361966387420014e-06,106815
603,Elise,6,9.361966387420014e-06,106815
604,Esmeralda,6,9.361966387420014e-06,106815
605,Fabiola,6,9.361966387420014e-06,106815
606,Léna,6,9.361966387420014e-06,106815
607,Magnolia,6,9.361966387420014e-06,106815
608,Nataliia,6,9.361966387420014e-06,106815
609,Rosalie,6,9.361966387420014e-06,106815
610,Ruby,6,9.361966387420014e-06,106815
611,Xenia,6,9.361966387420014e-06,106815
